Street,From,To,latlngfrom,latlngto,latlng,lat,lng
Van Ness Avenue,Van Ness Avenue,Fell Street,,"[37.7763836, -122.4194447]","[37.7763836, -122.4194447]",37.7763836,-122.4194447
Van Ness Avenue,Golden Gate Avenue,Van Ness Avenue,"[37.7810463, -122.4203923]",,"[37.7810463, -122.4203923]",37.7810463,-122.4203923
Van Ness Avenue,Van Ness Avenue,Golden Gate Avenue,,"[37.7810463, -122.4203923]","[37.7810463, -122.4203923]",37.7810463,-122.4203923
Van Ness Avenue,Hayes Street,Van Ness Avenue,"[37.7773125, -122.4196331]",,"[37.7773125, -122.4196331]",37.7773125,-122.4196331
Polk Street,Alice B. Toklas Place,O'Farrell Street,"[37.7854391, -122.419668]","[37.78497480000001, -122.419572]","[37.785206950000003, -122.41962000000001]",37.78520695,-122.41962000000001
Leavenworth Street,Eddy Street,Ellis Street,"[37.7837352, -122.4142647]","[37.7846684, -122.4144517]","[37.784201800000005, -122.41435820000001]",37.784201800000005,-122.41435820000001
Jones Street,Ellis Street,Eddy Street,"[37.784875, -122.4128063]","[37.7839391, -122.4126225]","[37.784407049999999, -122.4127144]",37.78440705,-122.4127144
Bush Street,Parking Entrance Lane,Chatham Place,"[37.7908821, -122.4015519]","[37.790473, -122.4063513]","[37.790677549999998, -122.4039516]",37.79067755,-122.4039516
Geary Street,Jones Street,Geary Street,"[37.7867426, -122.4131825]",,"[37.7867426, -122.4131825]",37.7867426,-122.4131825
Post Street,Larkin Street,Meacham Place,"[37.7870509, -122.4183057]","[37.7872141, -122.4170177]","[37.787132499999998, -122.4176617]",37.7871325,-122.4176617
Polk Street,Turk Street,Elm Street,"[37.7821712, -122.4190094]","[37.7817222, -122.4189219]","[37.781946699999999, -122.41896564999999]",37.7819467,-122.41896564999999
Geary Street,Larkin Street,Polk Street,"[37.786119, -122.4181182]","[37.7859036, -122.419754]","[37.786011299999998, -122.4189361]",37.7860113,-122.4189361
Taylor Street,Sutter Street,Bush Street,"[37.78880950000001, -122.4119083]","[37.7897577, -122.412102]","[37.789283600000005, -122.41200515]",37.789283600000005,-122.41200515
Larkin Street,O'Farrell Street,Larkin Street,"[37.7851838, -122.417931]",,"[37.7851838, -122.417931]",37.7851838,-122.417931
Grove Street,Dr Carlton P Goodlett Place,Van Ness Avenue,"[37.7784944, -122.4182568]","[37.7782787, -122.4198293]","[37.77838655, -122.41904305]",37.77838655,-122.41904305
Larkin Street,Larkin Street,Golden Gate Avenue,,"[37.7814608, -122.4171737]","[37.7814608, -122.4171737]",37.7814608,-122.4171737
Geary Street,Leavenworth Street,Hyde Street,"[37.7865325, -122.4148339]","[37.78632899999999, -122.4164715]","[37.786430749999994, -122.41565270000001]",37.786430749999994,-122.41565270000001
Sutter Street,Powell Street,Sutter Street,"[37.7892337, -122.4086166]",,"[37.7892337, -122.4086166]",37.7892337,-122.4086166
Polk Street,Grove Street,Dr Tom Waddell Place,"[37.7784944, -122.4182568]","[37.7779906, -122.4181585]","[37.778242500000005, -122.41820765]",37.778242500000005,-122.41820765
Leavenworth Street,Turk Street,Eddy Street,"[37.7827943, -122.4140676]","[37.7837352, -122.4142647]","[37.783264750000001, -122.41416615]",37.78326475,-122.41416615
Hyde Street,Golden Gate Avenue,McAllister Street,"[37.7816678, -122.4155242]","[37.7807062, -122.4153337]","[37.781187000000003, -122.41542895000001]",37.781187,-122.41542895
Polk Street,Willow Street,Eddy Street,"[37.7835829, -122.4192937]","[37.7831079, -122.419195]","[37.783345400000002, -122.41924435]",37.7833454,-122.41924435
Grove Street,Dr Carlton P Goodlett Place,Larkin Street,"[37.7784944, -122.4182568]","[37.778684, -122.4166426]","[37.778589199999999, -122.41744969999999]",37.7785892,-122.41744969999999
Taylor Street,Turk Street,Eddy Street,"[37.7832142, -122.4107842]","[37.7841597, -122.4109775]","[37.783686950000003, -122.41088085]",37.78368695,-122.41088085
Taylor Street,O'Farrell Street,Geary Street,"[37.7860127, -122.4113644]","[37.78694650000001, -122.4115479]","[37.786479600000007, -122.41145614999999]",37.78647960000001,-122.41145614999999
Mason Street,Sutter Street,Mason Street,"[37.7890236, -122.4102744]",,"[37.7890236, -122.4102744]",37.7890236,-122.4102744
Sutter Street,Mason Street,Taylor Street,"[37.7890236, -122.4102744]","[37.78880950000001, -122.4119083]","[37.78891655000001, -122.41109134999999]",37.78891655000001,-122.41109134999999
Larkin Street,Turk Street,Eddy Street,"[37.7823865, -122.417359]","[37.7833197, -122.4175497]","[37.782853099999997, -122.41745435]",37.7828531,-122.41745435
Jones Street,Bush Street,Sutter Street,"[37.7895396, -122.4137511]","[37.7886086, -122.4135648]","[37.789074100000001, -122.41365795]",37.7890741,-122.41365795
Jones Street,Sutter Street,Jones Street,"[37.7886086, -122.4135648]",,"[37.7886086, -122.4135648]",37.7886086,-122.4135648
Jones Street,Post Street,Colin Place,"[37.78768170000001, -122.4133747]","[37.7873942, -122.4133176]","[37.787537950000001, -122.41334615]",37.78753795,-122.41334615
Jones Street,Colin Place,Geary Street,"[37.7873942, -122.4133176]","[37.7867426, -122.4131825]","[37.787068399999995, -122.41325005]",37.787068399999995,-122.41325005
Jones Street,Antonio Street,Ellis Street,"[37.7853194, -122.4128958]","[37.784875, -122.4128063]","[37.785097199999996, -122.41285105]",37.785097199999996,-122.41285105
Montgomery Street,Clay Street,Commercial Street,"[37.7946786, -122.4031771]","[37.7942315, -122.4030656]","[37.794455049999996, -122.40312134999999]",37.794455049999996,-122.40312134999999
Montgomery Street,Bush Street,Sutter Street,"[37.790976, -122.4024281]","[37.79004, -122.4022157]","[37.790508000000003, -122.4023219]",37.790508,-122.4023219
Pine Street,Battery Street,Sansome Street,"[37.7922635, -122.3997971]","[37.7921137, -122.4009809]","[37.792188600000003, -122.40038899999999]",37.7921886,-122.40038899999999
Battery Street,Washington Street,Merchant Street,"[37.7958797, -122.400531]","[37.7954607, -122.4004453]","[37.795670200000004, -122.40048815]",37.7956702,-122.40048815
Stockton Street,Stockton Street,Jackson Street,,"[37.7958293, -122.4082803]","[37.7958293, -122.4082803]",37.7958293,-122.4082803
Kearny Street,Kearny Street,Sutter Street,,"[37.78982740000001, -122.4038894]","[37.78982740000001, -122.4038894]",37.78982740000001,-122.4038894
Kearny Street,Kearny Street,Columbus Avenue,,"[37.7969361, -122.4053194]","[37.7969361, -122.4053194]",37.7969361,-122.4053194
Montgomery Street,Montgomery Street,Jackson Street,,"[37.7964276, -122.4035182]","[37.7964276, -122.4035182]",37.7964276,-122.4035182
Montgomery Street,Verdi Place,Pacific Avenue,"[37.797867, -122.4038234]","[37.7973059, -122.4036995]","[37.797586449999997, -122.40376144999999]",37.79758645,-122.40376144999999
Montgomery Street,Verdi Place,Broadway,"[37.797867, -122.4038234]","[37.7982343, -122.4038784]","[37.798050649999993, -122.40385089999999]",37.79805064999999,-122.4038509
Stockton Street,Stockton Tunnel,Stockton Street,"[37.7927714, -122.4076486]",,"[37.7927714, -122.4076486]",37.7927714,-122.4076486
Mission Street,11th Street,Mission Street,"[37.7743325, -122.4171372]",,"[37.7743325, -122.4171372]",37.7743325,-122.4171372
Montgomery Street,Washington Street,Montgomery Street,"[37.7955356, -122.4033268]",,"[37.7955356, -122.4033268]",37.7955356,-122.4033268
Montgomery Street,Jackson Street,Montgomery Street,"[37.7964276, -122.4035182]",,"[37.7964276, -122.4035182]",37.7964276,-122.4035182
Kearny Street,Hardie Place,Bush Street,"[37.7902722, -122.403981]","[37.7907632, -122.4040735]","[37.790517699999995, -122.40402725]",37.790517699999995,-122.40402725
Washington Street,Hotaling Street,Columbus Avenue,"[37.7956019, -122.4027573]","[37.7955356, -122.4033268]","[37.795568750000001, -122.40304205000001]",37.79556875,-122.40304205000001
Battery Street,Halleck Street,California Street,"[37.7937021, -122.4000847]","[37.7932237, -122.3999893]","[37.793462899999994, -122.400037]",37.793462899999994,-122.400037
Battery Street,California Street,Pine Street,"[37.7932237, -122.3999893]","[37.7922635, -122.3997971]","[37.792743599999994, -122.39989320000001]",37.792743599999994,-122.39989320000001
Pine Street,Montgomery Street,Kearny Street,"[37.7919106, -122.4025966]","[37.7916933, -122.4042585]","[37.79180195, -122.40342755]",37.79180195,-122.40342755
Kearny Street,Nottingham Place,Broadway,"[37.79755919999999, -122.4054381]","[37.7980203, -122.4055234]","[37.797789749999993, -122.40548075000001]",37.79778974999999,-122.40548075000001
Stockton Street,Green Street,Union Street,"[37.7994642, -122.40891]","[37.8004505, -122.4092074]","[37.79995735, -122.4090587]",37.79995735,-122.4090587
Columbus Avenue,Kearny Street,Pacific Avenue,"[37.7969361, -122.4053194]","[37.7970734, -122.4055576]","[37.797004749999999, -122.4054385]",37.79700475,-122.4054385
Redwood Street,Polk Street,Van Ness Avenue,"[37.7807903, -122.41873]","[37.7805845, -122.4202962]","[37.780687400000005, -122.41951309999999]",37.780687400000005,-122.41951309999999
