Street,From,To,Date,Time,Real.Spots,Street.Length,any_spot
23rd Street,Bartlett Street,Valencia Street,1/21/2014,7:41,0,97.607445,0
23rd Street,Bartlett Street,Valencia Street,1/21/2014,19:25,5,97.607445,1
23rd Street,South Van Ness Avenue,Capp Street,1/21/2014,7:43,0,96.3013,0
23rd Street,South Van Ness Avenue,Capp Street,1/21/2014,17:36,1,96.3013,1
23rd Street,South Van Ness Avenue,Capp Street,1/21/2014,19:26,1,96.3013,1
23rd Street,Mission Street,Capp Street,1/21/2014,7:42,2,96.04013,1
23rd Street,Mission Street,Capp Street,1/21/2014,17:35,0,96.04013,0
23rd Street,Mission Street,Capp Street,1/21/2014,19:25,0,96.04013,0
Bryant Street,Mariposa Street,17th Street,1/21/2014,17:19,2,141.70232,1
Mission Street,25th Street,26th Street,1/21/2014,11:23,0,179.13297,0
23rd Street,Mission Street,Bartlett Street,1/23/2014,17:14,1,96.03711,1
23rd Street,Mission Street,Bartlett Street,1/23/2014,18:39,1,96.03711,1
23rd Street,Bartlett Street,Valencia Street,1/23/2014,17:13,1,97.607445,1
23rd Street,South Van Ness Avenue,Capp Street,1/23/2014,17:16,2,96.3013,1
23rd Street,South Van Ness Avenue,Capp Street,1/23/2014,18:40,1,96.3013,1
23rd Street,Mission Street,Capp Street,1/23/2014,17:16,1,96.04013,1
23rd Street,Mission Street,Capp Street,1/23/2014,18:40,0,96.04013,0
Mission Street,25th Street,26th Street,1/23/2014,18:36,2,179.13297,1
23rd Street,Mission Street,Bartlett Street,1/24/2014,13:35,0,96.03711,0
23rd Street,Mission Street,Bartlett Street,1/24/2014,19:31,0,96.03711,0
23rd Street,Bartlett Street,Valencia Street,1/24/2014,13:35,0,97.607445,0
23rd Street,Bartlett Street,Valencia Street,1/24/2014,19:31,0,97.607445,0
23rd Street,South Van Ness Avenue,Capp Street,1/24/2014,13:36,3,96.3013,1
23rd Street,South Van Ness Avenue,Capp Street,1/24/2014,16:01,2,96.3013,1
23rd Street,South Van Ness Avenue,Capp Street,1/24/2014,19:32,3,96.3013,1
23rd Street,Mission Street,Capp Street,1/24/2014,13:35,5,96.04013,1
23rd Street,Mission Street,Capp Street,1/24/2014,19:32,1,96.04013,1
Bryant Street,Mariposa Street,17th Street,1/24/2014,12:44,0,141.70232,0
Bryant Street,Mariposa Street,17th Street,1/24/2014,16:23,2,141.70232,1
Mission Street,25th Street,26th Street,1/24/2014,15:52,6,179.13297,1
23rd Street,Mission Street,Bartlett Street,1/25/2014,9:55,0,96.03711,0
23rd Street,Bartlett Street,Valencia Street,1/25/2014,9:55,4,97.607445,1
23rd Street,South Van Ness Avenue,Capp Street,1/25/2014,9:54,0,96.3013,0
23rd Street,Mission Street,Capp Street,1/25/2014,9:54,4,96.04013,1
Bryant Street,Mariposa Street,17th Street,1/25/2014,7:25,8,141.70232,1
Mission Street,25th Street,26th Street,1/25/2014,7:44,17,179.13297,1
Mission Street,25th Street,26th Street,1/25/2014,8:27,23,179.13297,1
23rd Street,Mission Street,Bartlett Street,1/26/2014,20:40,0,96.03711,0
23rd Street,Bartlett Street,Valencia Street,1/26/2014,20:40,0,97.607445,0
23rd Street,South Van Ness Avenue,Capp Street,1/26/2014,20:39,6,96.3013,1
23rd Street,Mission Street,Capp Street,1/26/2014,20:39,12,96.04013,1
Bryant Street,Mariposa Street,17th Street,1/26/2014,17:52,3,141.70232,1
Mission Street,25th Street,26th Street,1/26/2014,19:15,1,179.13297,1
Van Ness Avenue,Post Street,Hemlock Street,1/27/2014,13:48,0,52.505486,0
Jessie Street,New Montgomery Street,Annie Street,1/27/2014,8:04,0,97.18296,0
Van Ness Avenue,Bush Street,Austin Street,1/27/2014,13:49,0,52.384674,0
Van Ness Avenue,Bush Street,Austin Street,1/27/2014,16:48,0,52.384674,0
Van Ness Avenue,Clay Street,Washington Street,1/27/2014,13:50,1,98.93023,1
Van Ness Avenue,Clay Street,Washington Street,1/27/2014,15:53,10,98.93023,1
Van Ness Avenue,Clay Street,Washington Street,1/27/2014,17:08,6,98.93023,1
Van Ness Avenue,O'Farrell Street,Alice B. Toklas Place,1/27/2014,13:47,0,52.317448,0
Larkin Street,Cedar Street,Post Street,1/27/2014,16:46,0,52.32425,0
Pine Street,Larkin Street,Polk Street,1/27/2014,16:57,0,146.41655,0
Pine Street,Larkin Street,Polk Street,1/27/2014,19:43,1,146.41655,1
Pine Street,Polk Street,Van Ness Avenue,1/27/2014,16:58,1,139.4942,1
Larkin Street,Myrtle Street,Geary Street,1/27/2014,16:46,0,52.188343,0
Van Ness Avenue,Van Ness Avenue,Bush Street,1/27/2014,19:03,0,39.027992,0
Kearny Street,Geary Street,Maiden Lane,1/27/2014,7:31,0,52.976276,0
Kearny Street,Kearny Street,Post Street,1/27/2014,7:31,0,52.369446,0
Polk Street,Clay Street,Washington Street,1/27/2014,16:43,5,98.98388,1
Polk Street,Clay Street,Washington Street,1/27/2014,19:45,2,98.98388,1
Polk Street,Jackson Street,Washington Street,1/27/2014,16:42,3,98.40858,1
Polk Street,Jackson Street,Washington Street,1/27/2014,19:46,0,98.40858,0
Post Street,Kearny Street,Post Street,1/27/2014,7:32,0,104.36296,0
Van Ness Avenue,Pacific Avenue,Broadway,1/27/2014,13:51,3,104.314545,1
Van Ness Avenue,Pacific Avenue,Broadway,1/27/2014,15:54,0,104.314545,0
Washington Street,Van Ness Avenue,Polk Street,1/27/2014,17:08,0,139.37155,0
Washington Street,Polk Street,Larkin Street,1/27/2014,17:09,2,146.47252,1
Jackson Street,Polk Street,Van Ness Avenue,1/27/2014,17:16,2,139.32397,1
Polk Street,Bonita Street,Vallejo Street,1/27/2014,15:54,0,53.127136,0
Polk Street,Bonita Street,Vallejo Street,1/27/2014,16:40,0,53.127136,0
Polk Street,Bonita Street,Vallejo Street,1/27/2014,19:47,0,53.127136,0
Polk Street,Bonita Street,Green Street,1/27/2014,16:40,0,51.76525,0
Polk Street,Bonita Street,Green Street,1/27/2014,19:47,0,51.76525,0
Bush Street,Taylor Street,Mason Street,1/27/2014,19:06,1,146.52574,1
Van Ness Avenue,Clay Street,Washington Street,1/28/2014,12:35,1,98.93023,1
Van Ness Avenue,Clay Street,Washington Street,1/28/2014,13:56,2,98.93023,1
Polk Street,Clay Street,Washington Street,1/28/2014,14:46,4,98.98388,1
Polk Street,Jackson Street,Washington Street,1/28/2014,13:45,0,98.40858,0
Polk Street,Jackson Street,Washington Street,1/28/2014,14:45,8,98.40858,1
Van Ness Avenue,Pacific Avenue,Broadway,1/28/2014,12:38,7,104.314545,1
Van Ness Avenue,Pacific Avenue,Broadway,1/28/2014,14:11,6,104.314545,1
Van Ness Avenue,Pacific Avenue,Broadway,1/28/2014,15:54,2,104.314545,1
Washington Street,Van Ness Avenue,Polk Street,1/28/2014,13:56,26,139.37155,1
Washington Street,Van Ness Avenue,Polk Street,1/28/2014,15:45,1,139.37155,1
Washington Street,Polk Street,Larkin Street,1/28/2014,13:46,13,146.47252,1
Washington Street,Polk Street,Larkin Street,1/28/2014,15:46,11,146.47252,1
Jackson Street,Polk Street,Van Ness Avenue,1/28/2014,14:02,2,139.32397,1
Jackson Street,Polk Street,Van Ness Avenue,1/28/2014,15:41,3,139.32397,1
Polk Street,Bonita Street,Vallejo Street,1/28/2014,14:43,0,53.127136,0
Van Ness Avenue,Post Street,Hemlock Street,1/29/2014,14:54,2,52.505486,1
Van Ness Avenue,Bush Street,Austin Street,1/29/2014,14:55,0,52.384674,0
Van Ness Avenue,Bush Street,Austin Street,1/29/2014,16:24,0,52.384674,0
Van Ness Avenue,Clay Street,Washington Street,1/29/2014,14:55,2,98.93023,1
Van Ness Avenue,O'Farrell Street,Alice B. Toklas Place,1/29/2014,14:53,0,52.317448,0
Mission Street,Julia Street,Angelo's Alley,1/29/2014,8:17,0,26.680704,0
Mission Street,6th Street,7th Street,1/29/2014,8:16,0,276.52966,0
Mission Street,6th Street,7th Street,1/29/2014,9:35,23,276.52966,1
Mission Street,6th Street,7th Street,1/29/2014,11:13,6,276.52966,1
Van Ness Avenue,Pacific Avenue,Broadway,1/29/2014,14:56,3,104.314545,1
Van Ness Avenue,Clay Street,Washington Street,1/30/2014,16:31,7,98.93023,1
Van Ness Avenue,Clay Street,Washington Street,1/30/2014,19:38,0,98.93023,0
Pine Street,Larkin Street,Polk Street,1/30/2014,17:45,0,146.41655,0
Pine Street,Larkin Street,Polk Street,1/30/2014,19:08,1,146.41655,1
Pine Street,Polk Street,Van Ness Avenue,1/30/2014,16:29,0,139.4942,0
Pine Street,Polk Street,Van Ness Avenue,1/30/2014,19:30,4,139.4942,1
Polk Street,Clay Street,Washington Street,1/30/2014,16:28,0,98.98388,0
Polk Street,Clay Street,Washington Street,1/30/2014,17:27,0,98.98388,0
Polk Street,Clay Street,Washington Street,1/30/2014,19:10,0,98.98388,0
Polk Street,Jackson Street,Washington Street,1/30/2014,16:27,0,98.40858,0
Polk Street,Jackson Street,Washington Street,1/30/2014,17:26,0,98.40858,0
Polk Street,Jackson Street,Washington Street,1/30/2014,19:11,0,98.40858,0
Van Ness Avenue,Pacific Avenue,Broadway,1/30/2014,16:32,8,104.314545,1
Washington Street,Van Ness Avenue,Polk Street,1/30/2014,17:18,0,139.37155,0
Washington Street,Van Ness Avenue,Polk Street,1/30/2014,18:15,0,139.37155,0
Washington Street,Van Ness Avenue,Polk Street,1/30/2014,19:39,0,139.37155,0
Washington Street,Polk Street,Larkin Street,1/30/2014,17:19,0,146.47252,0
Washington Street,Polk Street,Larkin Street,1/30/2014,18:16,1,146.47252,1
Washington Street,Polk Street,Larkin Street,1/30/2014,19:39,0,146.47252,0
Jackson Street,Polk Street,Van Ness Avenue,1/30/2014,19:45,0,139.32397,0
Polk Street,Bonita Street,Vallejo Street,1/30/2014,16:25,0,53.127136,0
Polk Street,Bonita Street,Vallejo Street,1/30/2014,19:13,0,53.127136,0
Van Ness Avenue,Geary Boulevard,Myrtle Street,1/31/2014,14:23,0,52.51784,0
Van Ness Avenue,Clay Street,Washington Street,1/31/2014,13:23,6,98.93023,1
Van Ness Avenue,Bush Street,Fern Street,1/31/2014,14:21,1,52.405315,1
Van Ness Avenue,Daniel Burnham Court,Post Street,1/31/2014,14:22,0,52.191193,0
Pine Street,Larkin Street,Polk Street,1/31/2014,13:51,2,146.41655,1
Pine Street,Polk Street,Van Ness Avenue,1/31/2014,13:20,3,139.4942,1
Pine Street,Polk Street,Van Ness Avenue,1/31/2014,13:52,5,139.4942,1
Van Ness Avenue,Van Ness Avenue,Bush Street,1/31/2014,14:21,0,39.027992,0
Van Ness Avenue,Van Ness Avenue,Bush Street,1/31/2014,15:01,0,39.027992,0
Polk Street,Clay Street,Washington Street,1/31/2014,13:16,1,98.98388,1
Polk Street,Clay Street,Washington Street,1/31/2014,15:05,1,98.98388,1
Polk Street,Jackson Street,Washington Street,1/31/2014,13:16,0,98.40858,0
Polk Street,Jackson Street,Washington Street,1/31/2014,14:11,1,98.40858,1
Polk Street,Jackson Street,Washington Street,1/31/2014,15:06,3,98.40858,1
Van Ness Avenue,Pacific Avenue,Broadway,1/31/2014,13:24,7,104.314545,1
Van Ness Avenue,Pacific Avenue,Broadway,1/31/2014,14:20,0,104.314545,0
Washington Street,Van Ness Avenue,Polk Street,1/31/2014,14:11,0,139.37155,0
Washington Street,Van Ness Avenue,Polk Street,1/31/2014,15:57,4,139.37155,1
Washington Street,Polk Street,Larkin Street,1/31/2014,14:11,3,146.47252,1
Jackson Street,Polk Street,Van Ness Avenue,1/31/2014,14:09,1,139.32397,1
Polk Street,Bonita Street,Vallejo Street,1/31/2014,13:13,0,53.127136,0
Polk Street,Bonita Street,Vallejo Street,1/31/2014,15:07,0,53.127136,0
Polk Street,Bonita Street,Green Street,1/31/2014,13:13,0,51.76525,0
Polk Street,Bonita Street,Green Street,1/31/2014,15:07,0,51.76525,0
23rd Street,Mission Street,Bartlett Street,2/1/2014,14:05,0,96.03711,0
23rd Street,Bartlett Street,Valencia Street,2/1/2014,14:05,1,97.607445,1
Mission Street,Julia Street,Angelo's Alley,2/1/2014,9:01,1,26.680704,1
Mission Street,Julia Street,Angelo's Alley,2/1/2014,9:35,0,26.680704,0
Mission Street,6th Street,7th Street,2/1/2014,9:00,26,276.52966,1
Mission Street,6th Street,7th Street,2/1/2014,9:36,51,276.52966,1
23rd Street,South Van Ness Avenue,Capp Street,2/1/2014,14:07,0,96.3013,0
23rd Street,Mission Street,Capp Street,2/1/2014,14:07,1,96.04013,1
Bryant Street,Mariposa Street,17th Street,2/1/2014,13:32,1,141.70232,1
Bryant Street,Mariposa Street,17th Street,2/1/2014,15:43,1,141.70232,1
Mission Street,25th Street,26th Street,2/1/2014,12:29,0,179.13297,0
Jessie Street,New Montgomery Street,Annie Street,2/2/2014,10:27,0,97.18296,0
Van Ness Avenue,Geary Boulevard,Myrtle Street,2/2/2014,14:02,0,52.51784,0
Van Ness Avenue,Van Ness Avenue,Eddy Street,2/2/2014,14:02,3,52.74427,1
Van Ness Avenue,Van Ness Avenue,Eddy Street,2/2/2014,14:58,0,52.74427,0
Van Ness Avenue,Van Ness Avenue,Turk Street,2/2/2014,14:03,0,52.836143,0
Van Ness Avenue,Van Ness Avenue,Turk Street,2/2/2014,14:58,2,52.836143,1
Van Ness Avenue,Bush Street,Fern Street,2/2/2014,14:01,0,52.405315,0
Van Ness Avenue,Daniel Burnham Court,Post Street,2/2/2014,14:01,0,52.191193,0
Mission Street,6th Street,7th Street,2/2/2014,7:54,37,276.52966,1
Mission Street,6th Street,7th Street,2/2/2014,10:52,22,276.52966,1
Van Ness Avenue,Van Ness Avenue,Grove Street,2/2/2014,14:04,0,52.04572,0
Van Ness Avenue,Van Ness Avenue,Grove Street,2/2/2014,15:00,0,52.04572,0
Van Ness Avenue,McAllister Street,Van Ness Avenue,2/2/2014,14:04,0,154.60497,0
Van Ness Avenue,McAllister Street,Van Ness Avenue,2/2/2014,14:59,0,154.60497,0
Van Ness Avenue,Van Ness Avenue,Grove Street,2/2/2014,16:31,2,43.249866,1
Van Ness Avenue,Van Ness Avenue,Fell Street,2/2/2014,14:05,0,40.67155,0
Van Ness Avenue,Van Ness Avenue,Fell Street,2/2/2014,15:02,0,40.67155,0
Van Ness Avenue,Van Ness Avenue,Fell Street,2/2/2014,16:30,0,40.67155,0
Van Ness Avenue,Golden Gate Avenue,Van Ness Avenue,2/2/2014,14:03,0,63.262,0
Van Ness Avenue,Golden Gate Avenue,Van Ness Avenue,2/2/2014,14:59,5,63.262,1
Van Ness Avenue,Van Ness Avenue,Golden Gate Avenue,2/2/2014,14:03,0,44.81567,0
Van Ness Avenue,Van Ness Avenue,Golden Gate Avenue,2/2/2014,14:58,1,44.81567,1
Van Ness Avenue,Van Ness Avenue,Bush Street,2/2/2014,14:00,0,39.027992,0
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/2/2014,14:05,2,63.787968,1
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/2/2014,15:02,1,63.787968,1
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/2/2014,16:30,6,63.787968,1
Post Street,Kearny Street,Post Street,2/2/2014,9:55,0,104.36296,0
Van Ness Avenue,McAllister Street,Van Ness Avenue,2/2/2014,14:29,0,56.007236,0
Polk Street,Ellis Street,Olive Street,2/3/2014,13:08,0,52.74021,0
Polk Street,Alice B. Toklas Place,O'Farrell Street,2/3/2014,13:08,0,52.3586,0
Leavenworth Street,Eddy Street,Ellis Street,2/3/2014,13:39,7,104.76384,1
Leavenworth Street,Eddy Street,Ellis Street,2/3/2014,16:15,11,104.76384,1
Jones Street,Ellis Street,Eddy Street,2/3/2014,13:56,8,104.76797,1
Bush Street,Parking Entrance Lane,Chatham Place,2/3/2014,15:49,0,41.920464,0
Geary Street,Jones Street,Geary Street,2/3/2014,15:10,5,109.843506,1
Van Ness Avenue,Geary Boulevard,Myrtle Street,2/3/2014,16:02,0,52.51784,0
Van Ness Avenue,Van Ness Avenue,Eddy Street,2/3/2014,16:03,0,52.74427,0
Van Ness Avenue,Van Ness Avenue,Turk Street,2/3/2014,16:03,1,52.836143,1
Van Ness Avenue,Bush Street,Austin Street,2/3/2014,12:47,0,52.384674,0
Van Ness Avenue,O'Farrell Street,Alice B. Toklas Place,2/3/2014,12:46,0,52.317448,0
Van Ness Avenue,Bush Street,Fern Street,2/3/2014,16:01,0,52.405315,0
Van Ness Avenue,Daniel Burnham Court,Post Street,2/3/2014,16:01,0,52.191193,0
Post Street,Larkin Street,Meacham Place,2/3/2014,15:15,11,116.305824,1
Mission Street,Julia Street,Angelo's Alley,2/3/2014,13:17,0,26.680704,0
Mission Street,Julia Street,Angelo's Alley,2/3/2014,16:10,0,26.680704,0
Mission Street,6th Street,7th Street,2/3/2014,13:16,0,276.52966,0
Polk Street,Turk Street,Elm Street,2/3/2014,13:09,0,52.597584,0
Larkin Street,Cedar Street,Post Street,2/3/2014,13:04,0,52.32425,0
Geary Street,Larkin Street,Polk Street,2/3/2014,15:12,11,146.40805,1
Pine Street,Larkin Street,Polk Street,2/3/2014,13:05,4,146.41655,1
Pine Street,Larkin Street,Polk Street,2/3/2014,16:00,8,146.41655,1
Pine Street,Polk Street,Van Ness Avenue,2/3/2014,16:00,2,139.4942,1
Van Ness Avenue,Van Ness Avenue,Grove Street,2/3/2014,14:37,0,52.04572,0
Van Ness Avenue,Van Ness Avenue,Grove Street,2/3/2014,16:04,0,52.04572,0
Van Ness Avenue,McAllister Street,Van Ness Avenue,2/3/2014,14:36,1,154.60497,1
Van Ness Avenue,McAllister Street,Van Ness Avenue,2/3/2014,16:04,0,154.60497,0
Van Ness Avenue,Van Ness Avenue,Grove Street,2/3/2014,12:43,0,43.249866,0
Van Ness Avenue,Van Ness Avenue,Grove Street,2/3/2014,14:44,0,43.249866,0
Taylor Street,Sutter Street,Bush Street,2/3/2014,13:51,0,105.05199,0
Larkin Street,O'Farrell Street,Larkin Street,2/3/2014,13:04,0,52.4134,0
Larkin Street,Myrtle Street,Geary Street,2/3/2014,13:04,2,52.188343,1
Grove Street,Dr Carlton P Goodlett Place,Van Ness Avenue,2/3/2014,14:38,1,140.25523,1
Larkin Street,Larkin Street,Golden Gate Avenue,2/3/2014,13:02,0,95.939,0
Geary Street,Leavenworth Street,Hyde Street,2/3/2014,15:11,13,146.58632,1
Sutter Street,Powell Street,Sutter Street,2/3/2014,15:23,2,103.21066,1
Polk Street,Grove Street,Dr Tom Waddell Place,2/3/2014,12:54,0,58.041042,0
Van Ness Avenue,Van Ness Avenue,Fell Street,2/3/2014,14:41,0,40.67155,0
Van Ness Avenue,Van Ness Avenue,Fell Street,2/3/2014,15:56,3,40.67155,1
Van Ness Avenue,Golden Gate Avenue,Van Ness Avenue,2/3/2014,16:04,1,63.262,1
Van Ness Avenue,Van Ness Avenue,Golden Gate Avenue,2/3/2014,14:27,0,44.81567,0
Van Ness Avenue,Van Ness Avenue,Golden Gate Avenue,2/3/2014,16:04,0,44.81567,0
Van Ness Avenue,Van Ness Avenue,Bush Street,2/3/2014,16:00,2,39.027992,1
Larkin Street,Sutter Street,Larkin Street,2/3/2014,13:05,0,48.555763,0
Leavenworth Street,Turk Street,Eddy Street,2/3/2014,13:38,4,104.82981,1
Leavenworth Street,Turk Street,Eddy Street,2/3/2014,16:39,1,104.82981,1
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/3/2014,14:41,1,63.787968,1
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/3/2014,16:05,0,63.787968,0
Van Ness Avenue,McAllister Street,Van Ness Avenue,2/3/2014,12:44,1,56.007236,1
Van Ness Avenue,McAllister Street,Van Ness Avenue,2/3/2014,14:45,1,56.007236,1
Hyde Street,Golden Gate Avenue,McAllister Street,2/3/2014,13:32,0,105.14411,0
Hyde Street,Golden Gate Avenue,McAllister Street,2/3/2014,16:22,0,105.14411,0
Polk Street,Willow Street,Eddy Street,2/3/2014,13:08,0,52.7432,0
Grove Street,Dr Carlton P Goodlett Place,Larkin Street,2/3/2014,14:38,2,145.29704,1
Taylor Street,Turk Street,Eddy Street,2/3/2014,13:49,1,104.8531,1
Taylor Street,O'Farrell Street,Geary Street,2/3/2014,13:50,0,104.98754,0
Larkin Street,McAllister Street,Fulton Street,2/3/2014,13:01,1,102.83145,1
Mason Street,Sutter Street,Mason Street,2/3/2014,14:20,0,53.208504,0
Sutter Street,Mason Street,Taylor Street,2/3/2014,15:24,0,146.40962,0
Larkin Street,Turk Street,Eddy Street,2/3/2014,13:03,0,104.79967,0
Bush Street,Taylor Street,Mason Street,2/3/2014,15:48,0,146.52574,0
Jones Street,Bush Street,Sutter Street,2/3/2014,13:44,2,105.07395,1
Jones Street,Sutter Street,Jones Street,2/3/2014,13:44,2,72.91717,1
Jones Street,Post Street,Colin Place,2/3/2014,13:44,0,32.07858,0
Jones Street,Colin Place,Geary Street,2/3/2014,13:44,5,72.54509,1
Jones Street,Antonio Street,Ellis Street,2/3/2014,13:56,7,51.088688,1
Van Ness Avenue,Van Ness Avenue,Fell Street,2/4/2014,12:57,1,40.67155,1
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/4/2014,12:57,0,63.787968,0
Geary Street,Jones Street,Geary Street,2/5/2014,13:55,0,109.843506,0
Van Ness Avenue,Geary Boulevard,Myrtle Street,2/5/2014,7:47,1,52.51784,1
Van Ness Avenue,Van Ness Avenue,Eddy Street,2/5/2014,7:48,0,52.74427,0
Van Ness Avenue,Van Ness Avenue,Turk Street,2/5/2014,7:49,0,52.836143,0
Van Ness Avenue,Van Ness Avenue,Turk Street,2/5/2014,9:06,1,52.836143,1
Van Ness Avenue,Bush Street,Fern Street,2/5/2014,7:46,0,52.405315,0
Van Ness Avenue,Daniel Burnham Court,Post Street,2/5/2014,7:47,0,52.191193,0
Mission Street,Julia Street,Angelo's Alley,2/5/2014,15:44,0,26.680704,0
Mission Street,6th Street,7th Street,2/5/2014,15:45,15,276.52966,1
Van Ness Avenue,Van Ness Avenue,Grove Street,2/5/2014,7:50,0,52.04572,0
Van Ness Avenue,Van Ness Avenue,Grove Street,2/5/2014,9:28,0,52.04572,0
Van Ness Avenue,McAllister Street,Van Ness Avenue,2/5/2014,7:49,0,154.60497,0
Van Ness Avenue,McAllister Street,Van Ness Avenue,2/5/2014,9:28,0,154.60497,0
Geary Street,Leavenworth Street,Hyde Street,2/5/2014,13:55,0,146.58632,0
Van Ness Avenue,Van Ness Avenue,Fell Street,2/5/2014,7:50,0,40.67155,0
Van Ness Avenue,Van Ness Avenue,Fell Street,2/5/2014,9:44,0,40.67155,0
Van Ness Avenue,Golden Gate Avenue,Van Ness Avenue,2/5/2014,9:15,2,63.262,1
Van Ness Avenue,Van Ness Avenue,Golden Gate Avenue,2/5/2014,7:49,2,44.81567,1
Van Ness Avenue,Van Ness Avenue,Bush Street,2/5/2014,7:46,0,39.027992,0
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/5/2014,7:50,4,63.787968,1
Van Ness Avenue,Hayes Street,Van Ness Avenue,2/5/2014,9:44,0,63.787968,0
Hyde Street,Golden Gate Avenue,McAllister Street,2/5/2014,13:57,0,105.14411,0
Hyde Street,Golden Gate Avenue,McAllister Street,2/5/2014,15:41,0,105.14411,0
Van Ness Avenue,Bush Street,Fern Street,2/6/2014,15:34,1,52.405315,1
Van Ness Avenue,Bush Street,Fern Street,2/6/2014,19:55,0,52.405315,0
Van Ness Avenue,Daniel Burnham Court,Post Street,2/6/2014,15:34,2,52.191193,1
Van Ness Avenue,Van Ness Avenue,Bush Street,2/6/2014,15:34,0,39.027992,0
Van Ness Avenue,Post Street,Hemlock Street,2/7/2014,18:19,0,52.505486,0
Van Ness Avenue,Bush Street,Fern Street,2/7/2014,15:44,1,52.405315,1
Van Ness Avenue,Bush Street,Fern Street,2/7/2014,18:42,2,52.405315,1
Van Ness Avenue,Daniel Burnham Court,Post Street,2/7/2014,15:45,0,52.191193,0
Van Ness Avenue,Daniel Burnham Court,Post Street,2/7/2014,18:19,0,52.191193,0
Van Ness Avenue,Van Ness Avenue,Bush Street,2/7/2014,15:44,1,39.027992,1
Polk Street,Jackson Street,Washington Street,2/7/2014,19:26,0,98.40858,0
Washington Street,Van Ness Avenue,Polk Street,2/7/2014,19:25,1,139.37155,1
Jackson Street,Polk Street,Van Ness Avenue,2/7/2014,19:26,0,139.32397,0
Jessie Street,New Montgomery Street,Annie Street,2/8/2014,18:38,0,97.18296,0
Van Ness Avenue,Van Ness Avenue,Eddy Street,2/8/2014,7:33,3,52.74427,1
Van Ness Avenue,Van Ness Avenue,Eddy Street,2/8/2014,10:00,1,52.74427,1
Van Ness Avenue,Van Ness Avenue,Turk Street,2/8/2014,7:33,0,52.836143,0
Mission Street,Julia Street,Angelo's Alley,2/8/2014,17:22,0,26.680704,0
Mission Street,Julia Street,Angelo's Alley,2/8/2014,19:07,2,26.680704,1
Mission Street,6th Street,7th Street,2/8/2014,19:06,19,276.52966,1
Polk Street,Turk Street,Elm Street,2/8/2014,8:40,1,52.597584,1
Van Ness Avenue,Van Ness Avenue,Grove Street,2/8/2014,7:34,0,52.04572,0
Van Ness Avenue,McAllister Street,Van Ness Avenue,2/8/2014,7:34,0,154.60497,0
Van Ness Avenue,Van Ness Avenue,Fell Street,2/8/2014,7:36,3,40.67155,1
Van Ness Avenue,Van Ness Avenue,Fell Street,2/8/2014,8:15,2,40.67155,1
Van Ness Avenue,Golden Gate Avenue,Van Ness Avenue,2/8/2014,7:33,4,63.262,1
Van Ness Avenue,Van Ness Avenue,Golden Gate Avenue,2/8/2014,7:33,0,44.81567,0
Kearny Street,Geary Street,Maiden Lane,2/8/2014,18:36,0,52.976276,0
